route_id,distance_km,speed_kmph,traffic_level,hour_of_day,day_of_week,previous_eta,actual_eta
2,26.15,26.08,Medium,12,0,74.98,76.19
3,44.84,28.12,Medium,7,4,119.31,119.73
3,41.98,36.75,Medium,9,2,85.06,84.66
3,30.91,35.57,Low,14,3,49.67,51.61
3,40.61,25.04,High,17,5,156.0,154.72
3,39.48,41.88,Medium,2,1,71.04,71.37
2,29.6,35.86,Medium,22,2,63.09,63.18
3,34.85,34.55,Low,23,2,58.06,60.5
1,12.01,53.56,Medium,5,3,18.42,18.56
1,16.15,30.92,Low,16,3,34.07,31.19
2,20.14,26.87,Medium,3,4,52.71,55.63
2,28.77,46.24,High,10,0,61.13,58.27
1,15.33,29.42,Medium,16,2,38.97,38.37
2,21.62,53.93,High,7,2,40.69,38.29
2,20.83,29.53,Low,21,6,44.73,43.48
2,24.29,25.39,Medium,6,3,72.93,72.77
3,37.06,51.43,High,13,0,70.98,69.08
1,15.58,49.89,Low,6,4,19.8,18.95
1,17.15,25.84,High,4,5,61.81,62.86
3,30.57,33.09,High,10,0,91.21,88.82
2,29.83,31.02,High,1,0,91.3,92.11
2,25.98,42.29,Low,12,0,35.32,35.12
1,12.79,44.98,Low,22,3,15.44,15.19
3,36.82,25.93,Low,23,4,85.01,84.64
3,42.04,45.26,Medium,0,6,69.79,71.64
1,13.22,48.55,Low,4,0,18.79,18.29
1,16.0,36.23,Medium,18,1,30.74,31.27
1,14.62,50.29,Medium,15,5,19.28,21.54
1,12.21,46.0,Low,22,1,15.24,15.65
1,13.6,26.58,Medium,20,3,34.38,36.8
1,12.75,48.92,High,19,5,22.86,25.38
2,24.81,47.94,Low,13,1,31.41,31.21
2,27.92,52.89,Medium,12,0,36.1,37.96
3,33.24,49.86,High,8,3,61.67,64.62
3,35.01,26.91,Low,3,6,77.74,79.06
1,12.19,42.45,Medium,16,2,25.64,22.85
2,23.28,52.37,Low,14,5,23.82,26.6
1,14.45,44.81,Low,17,6,22.12,19.62
2,23.7,25.27,Low,17,6,55.15,57.77
3,44.51,37.05,Low,6,2,74.46,73.61
3,38.32,32.84,Low,18,5,73.88,71.95
3,44.72,53.19,High,5,2,78.71,80.38
3,34.66,30.21,Low,2,4,66.95,66.84
1,17.62,40.96,Low,15,3,25.7,25.7
2,22.96,36.43,High,19,0,62.38,62.24
2,20.49,49.52,Low,21,3,20.6,23.2
1,14.42,49.03,Low,11,4,15.7,17.46
1,17.69,45.94,Medium,14,4,27.72,28.4
1,17.92,26.84,Low,1,3,39.28,40.51
1,17.18,37.84,Low,21,2,23.53,26.19
3,37.06,53.08,Low,2,2,38.3,40.55
3,43.82,49.92,High,18,0,87.03,85.17
1,13.75,28.18,Medium,19,1,39.39,38.34
1,12.88,45.55,High,13,3,27.19,27.21
2,29.33,43.38,Medium,4,5,50.39,49.79
3,37.87,42.28,High,12,4,83.47,85.86
1,17.41,29.17,Low,12,4,32.4,34.5
2,24.85,43.11,Low,18,4,36.79,34.92
2,23.49,25.37,Low,1,2,58.78,56.97
1,14.67,32.03,Low,3,2,30.54,29.1
3,40.17,29.51,Medium,8,3,103.37,103.14
2,27.58,29.71,Low,0,2,55.39,54.31
1,15.48,41.18,High,22,2,38.24,37.01
1,16.44,46.1,Medium,8,6,25.73,27.33
3,38.01,40.29,Medium,23,2,69.58,69.55
3,43.08,51.96,High,17,1,78.23,79.96
1,13.52,28.19,Low,4,4,27.12,29.71
1,13.27,35.71,High,11,6,37.44,36.31
1,16.06,43.35,High,15,5,33.12,33.71
3,43.57,38.08,High,21,3,108.67,108.25
3,30.31,27.66,Low,15,0,61.89,64.07
2,22.43,33.05,High,19,1,68.14,66.28
1,16.92,38.89,Medium,6,6,34.82,34.26
3,44.95,35.21,Medium,5,5,93.44,96.3
1,12.49,51.25,Medium,13,2,17.73,16.41
3,42.25,26.53,High,14,5,151.75,151.28
2,28.24,51.77,Low,17,0,34.46,33.21
3,33.47,38.46,Medium,12,2,64.25,65.73
1,15.71,26.23,High,16,2,59.48,56.94
2,21.99,38.16,High,23,1,55.17,54.4
2,26.23,25.52,High,5,5,98.13,98.54
3,36.04,37.23,Low,7,0,59.12,58.48
1,17.93,25.49,High,18,2,64.39,67.27
3,34.13,49.83,Low,15,3,40.86,39.63
3,34.22,54.27,Medium,19,6,50.14,47.3
2,28.02,34.91,Low,15,5,48.86,46.83
2,22.74,50.48,High,18,4,43.16,44.3
1,15.84,54.24,High,16,6,30.11,27.4
2,23.28,39.91,Medium,17,6,42.81,44.59
3,41.61,53.13,Low,16,3,47.78,45.56
2,27.53,32.42,Low,1,5,50.61,51.3
1,17.22,37.05,High,4,2,47.37,44.71
3,33.9,47.55,Medium,15,1,54.9,53.46
1,17.76,49.39,Medium,1,3,28.46,26.33
3,41.01,54.69,High,1,6,74.88,73.38
2,26.8,44.02,Medium,20,2,47.26,46.87
1,17.55,53.1,Medium,22,4,22.04,23.44
1,16.55,48.5,High,18,6,33.36,34.08
3,34.88,42.8,High,15,2,79.84,79.79
1,16.11,36.7,High,22,1,42.12,43.93
3,44.64,48.21,High,19,6,89.33,89.29
3,30.03,34.97,Low,20,1,50.62,49.8
1,13.32,33.66,High,8,6,39.89,37.79
3,36.03,34.69,Medium,3,6,76.37,76.15
3,43.47,43.61,Low,14,0,58.64,58.79
3,34.73,42.26,High,6,6,77.59,80.48
1,16.67,26.47,Medium,1,1,45.74,47.04
2,24.32,44.21,High,11,6,49.2,51.86
2,25.04,43.36,High,8,5,55.93,55.58
2,27.91,39.11,Medium,3,0,50.45,52.47
1,17.15,46.62,Medium,10,2,24.85,25.69
3,32.97,25.7,Medium,20,6,95.35,97.85
3,32.12,48.86,Medium,9,1,50.21,48.15
1,16.57,50.01,Low,9,6,17.54,18.03
3,42.93,35.21,Medium,11,6,93.83,92.37
3,30.46,46.52,High,17,5,64.67,64.39
3,41.55,26.27,High,22,6,148.67,150.79
1,16.31,29.06,Medium,22,6,42.53,42.35
3,40.53,34.44,Low,0,1,68.68,68.89
3,42.33,54.66,High,0,1,74.79,73.87
3,41.65,49.66,Medium,3,1,60.48,63.08
1,16.72,28.81,Low,21,4,33.31,36.18
3,34.18,36.13,High,8,6,89.84,91.69
3,37.1,25.44,Low,23,2,85.97,88.71
3,38.27,54.35,High,1,6,71.61,69.15
3,42.28,35.43,Medium,11,1,88.66,88.58
3,38.24,35.14,Medium,7,1,80.49,82.49
2,20.3,45.21,Medium,1,6,33.71,33.37
2,28.4,43.97,Low,16,0,40.6,39.72
2,26.31,39.63,Low,22,2,41.15,39.65
3,41.05,54.7,Low,17,3,44.0,46.55
1,14.58,50.92,Low,11,6,20.89,19.08
3,36.47,37.04,Low,23,3,58.52,59.61
1,12.47,49.78,Medium,22,1,17.94,18.88
1,12.64,54.76,Medium,22,6,20.03,18.0
3,37.44,25.12,High,21,1,146.58,145.05
2,28.3,38.13,Low,4,6,47.65,45.1
3,37.71,33.8,Low,11,2,67.02,68.31
1,12.69,28.77,Medium,15,1,35.09,32.81
2,28.3,31.32,Medium,4,2,70.45,68.84
3,31.3,43.12,Low,8,5,42.45,45.22
2,29.63,33.86,Low,21,1,50.75,53.68
2,21.98,43.63,Medium,20,2,33.78,36.65
2,28.3,29.69,Low,21,1,57.6,57.05
2,24.2,36.72,Medium,4,3,50.27,51.31
1,13.52,47.15,Medium,20,4,23.31,20.62
2,29.68,35.54,High,8,1,78.09,78.48
3,38.94,37.68,Medium,17,0,80.84,78.91
1,15.61,38.61,Medium,12,2,30.66,30.97
3,40.02,50.82,Medium,6,1,57.91,58.43
3,44.76,27.65,Medium,10,1,122.01,119.56
2,22.98,48.33,High,13,3,47.01,46.92
2,23.63,54.18,Medium,17,5,32.72,31.92
2,27.69,38.8,Medium,8,0,56.36,55.25
2,25.58,47.25,Medium,18,3,40.88,39.24
3,31.21,32.93,High,1,0,94.68,91.98
2,26.49,28.15,Medium,6,6,72.06,69.15
3,38.18,49.21,Medium,22,6,59.33,59.14
